Title	Type	Episodes	Release date	End date	Members	Score	Users	Rank	Popularity	Description	Related	Characters	Voices	Staff
Kubikiri Cycle: Aoiro Savant to Zaregototsukai	OVA	8	2001-09-21 00:00:00	2017-09-27 00:00:00	87959	7.81	25548	847	1789	"[""Due to a mysterious disease, the genius Iria Akagami has been forced by her family to stay in a mansion on the isolated Wet Crow's Feather Island with only a handful of maids. To keep herself entertained, Iria invites a variety of fellow geniuses to stay as guests in her home, including computer savant Tomo Kunagisa and her unnamed assistant, skilled fortune-teller Maki Himena, famous artist Kanami Ibuki, academic scholar Akane Sonoyama, and renowned cook Yayoi Sashirono."", '\n', '\n', '\n', ""\r\nThese visits progress as normal until one of the guests is found gruesomely murdered in the night without a single clue as to the identity of the killer or a possible motive. Tensions rise between those on the island as the killer remains at large, and Tomo's assistant takes it upon himself to uncover the culprit's identity before the murderous events progress any further."", '\n', '\n', '\n', '\r\n[Written by MAL Rewrite]']"	nan	['Boku', 'Kunagisa, Tomo', 'Aikawa, Jun', 'Himena, Maki', 'Sonoyama, Akane', 'Ibuki, Kanami', 'Chiga, Teruko', 'Handa, Rei', 'Chiga, Hikari', 'Sakaki, Shinya']	['Kaji, Yuki', 'Yuuki, Aoi', 'Kaida, Yuuko', 'Endou, Aya', 'Shimamura, Yuu', 'Kawasumi, Ayako', 'Gotou, Yuuko', 'Kuwashima, Houko', 'Shintani, Ryouko', 'Hamada, Kenji']	[['Shinbou, Akiyuki', 'Director, Series Composition'], ['Yase, Yuki', 'Director, Episode Director, Storyboard'], ['Tsuruoka, Youta', 'Sound Director'], ['Asami, Takashi', 'Episode Director']]
