Title	Type	Episodes	Release date	End date	Members	Score	Users	Rank	Popularity	Description	Related	Characters	Voices	Staff
Cardfight!! Vanguard	TV	65	2011-01-08 00:00:00	2012-03-31 00:00:00	47639	7.02	21115	3702	2569	"[<i>Cardfight!! Vanguard</i>, ' features a world where the game Cardfight!! Vanguard is becoming the latest craze among trading card games, becoming a part of everyday life for people all over the world. The game is not limited to Earth alone; battles between the creatures used by the players take place on another planet called Cray.', '\n', '\n', '\n', '\r\nThe story begins with Aichi Sendou, a timid middle schooler whose meek attitude often leaves him a target for bullies. Aichi was given a very rare card, ""Blaster Blade"", when he was very young. It\'s his one treasure that gives him hope. That is, until it gets taken from him. Although Aichi has never played Cardfight!! Vanguard before, he challenges the thief to a game in order to win the ""Blaster Blade"" back. This high-stakes game quickly draws Aichi into the world of Vanguard battles, which will test and change his worth as both a player and a person. ']"	['Adaptation: Cardfight!! Vanguard', 'Sequel: Cardfight!! Vanguard: Asia Circuit-hen', 'Other: Mini Van', 'Alternative version: Cardfight!! Vanguard (2018)', 'Spin-off: Bermuda Triangle: Colorful Pastrale']	['Sendou, Aichi', 'Kai, Toshiki', 'Tokura, Misaki', 'Katsuragi, Kamui', 'Suzugamori, Ren', 'Miwa, Taishi', 'Tatsunagi, Kourin', 'Sendou, Emi', 'Mitsusada, Kenji', 'Morikawa, Katsumi']	['Yonaga, Tsubasa', 'Satou, Takuya', 'Kitta, Izumi', 'Ishikawa, Shizuka', 'Abe, Atsushi', 'Morikubo, Shoutarou', 'Mimori, Suzuko', 'Enomoto, Atsuko', 'Akabane, Kenji', 'Sugiyama, Noriaki']	[['Tsuji, Hatsuki', 'Director, Storyboard'], ['Takadera, Takeshi', 'Sound Director'], ['Tokumoto, Yoshinobu', 'Episode Director'], ['Umemoto, Yui', 'Episode Director, Storyboard']]
