Title	Type	Episodes	Release date	End date	Members	Score	Users	Rank	Popularity	Description	Related	Characters	Voices	Staff
Netsuzou TRap	TV	12	2017-07-05 00:00:00	2017-09-20 00:00:00	133452	5.35	55205	10786	1305	"[""High school students Yuma Okazaki and Hotaru Mizushina are childhood friends. With their respective boyfriends, Takeda and Fujiwara, their lives couldn't be more perfect. From playing in school to going on group dates, it seems nothing can break their bond. "", '\n', '\n', '\n', '\r\r\nHowever, during one such group date, Hotaru makes an unexpected move. While Takeda and Fujiwara are distracted, she begins stroking Yuma\'s thighs. Taken aback by this peculiar action, Yuma awkwardly retreats to the toilets, followed shortly by her aggressor. Now in private, Hotaru forces the innocent Yuma into a locked cubicle and whispers into her ear: ""You\'ll be more nervous with a boy; I\'ll help you practice.""', '\n', '\n', '\n', '\r\r\n[Written by MAL Rewrite]']"	None	"['Mizushina, Hotaru', 'Okazaki, Yuma', 'Fujiwara', 'Takeda', ""Yuma's Mother"", 'Health Teacher', 'Manager']"	['Igarashi, Hiromi', 'Kakuma, Ai', 'Ono, Daisuke', 'Oosaka, Ryouta', 'Kasahara, Akira', 'Yamaguchi, Shouhei']	[['Hirasawa, Hisayoshi', 'Director, Sound Director'], ['Kodama, Naoko', 'Original Creator'], ['Nakatake, Manabu', 'Key Animation, Animation Director'], ['ISAO', 'Music']]
